代码,名称,当前,近1月,近3月,近6月,近1年,近3年,成立来
004855,广发中证全指汽车指数C,--,-2.72%,-13.35%,-25.79%,-38.64%,--,-31.33%
004856,广发中证全指建筑材料指数A,--,-2.25%,-7.86%,-22.23%,-23.01%,--,-22.52%
004857,广发中证全指建筑材料指数C,--,-2.25%,-7.80%,-22.18%,-22.83%,--,-22.20%
004858,长信量化多策略股票C,0.9611,-1.53%,-11.94%,-19.97%,-26.93%,--,-19.83%
004859,泰康年年红纯债一年债券,1.0385,0.72%,2.20%,4.29%,7.52%,--,7.54%
004860,华泰紫金零钱宝货币,0.5791,0.23%,0.69%,1.57%,3.51%,--,4.03%
004861,泰康现金管家货币A,0.6512,0.21%,0.76%,1.66%,3.84%,--,4.19%
004862,泰康现金管家货币B,0.7173,0.23%,0.82%,1.78%,4.09%,--,4.46%
004863,泰康现金管家货币C,0.7177,0.23%,0.82%,1.78%,4.09%,--,4.46%
004864,泰康现金管家货币D,,--,--,--,--,--,--
004865,格林货币A,0.2343,0.20%,0.63%,1.56%,3.61%,--,4.47%
004866,格林货币B,0.2964,0.22%,0.69%,1.69%,3.86%,--,4.78%
004868,交银股息优化混合,0.9362,0.77%,-12.97%,-11.03%,-9.95%,--,-6.25%
004869,中融日日盈交易型货币B,0.6749,0.26%,0.85%,1.84%,3.77%,--,4.53%
004870,融通创业板指数C,0.6150,-8.08%,-20.67%,-28.27%,-31.63%,--,-31.24%
004871,中银金融地产混合,0.8832,0.28%,-0.64%,-10.78%,-11.93%,--,-11.91%
004874,融通巨潮100指数C,0.9009,1.01%,-5.06%,-12.95%,-12.75%,--,-5.98%
004875,融通深证成份指数C,0.6377,-6.73%,-17.89%,-27.75%,-31.25%,--,-26.24%
004876,融通深证100指数C,0.8959,-4.88%,-17.80%,-27.10%,-28.61%,--,-22.97%
004877,汇添富全球医疗混合人民币,1.0629,-8.01%,-13.19%,-3.72%,3.59%,--,3.09%
004878,汇添富全球医疗混合美元现汇,1.0277,-8.83%,-16.80%,-12.32%,-0.48%,--,-0.35%
