代码,名称,当前,近1月,近3月,近6月,近1年,近3年,成立来
004879,汇添富全球医疗混合美元现钞,1.0277,-8.83%,-16.80%,-12.32%,-0.48%,--,-0.35%
004881,中银量化价值混合,0.7685,-2.35%,-9.06%,-15.92%,--,--,-23.29%
004882,中银丰荣定期开放债券,1.0243,0.67%,1.53%,3.22%,--,--,4.55%
004883,中银证券瑞丰定开混合A,0.8661,-7.01%,-10.42%,-17.42%,-14.21%,--,-14.10%
004884,中银证券瑞丰定开混合C,0.8614,-7.06%,-10.54%,-17.63%,-14.66%,--,-14.57%
004885,长信先优债券,1.0270,-0.13%,-0.03%,1.23%,2.08%,--,2.64%
004887,长信稳通三个月定开债发起式,1.0224,0.39%,1.18%,2.54%,--,--,4.58%
004888,财通资管鑫逸混合A,0.9415,-0.33%,-4.04%,-8.44%,-6.11%,--,-5.77%
004889,财通资管鑫逸混合C,0.9387,-0.34%,-4.09%,-8.54%,-6.36%,--,-6.04%
004890,中邮文娱灵活配置混合,0.7744,-12.36%,-21.68%,-26.03%,--,--,-22.70%
004893,华润元大润泽债券A,1.0117,0.69%,0.84%,--,--,--,1.15%
004894,华润元大润泽债券C,1.0111,0.69%,0.79%,--,--,--,1.10%
004895,华商鑫安灵活混合,0.8117,-3.33%,-11.74%,-18.64%,-18.64%,--,-18.80%
004896,鹏华兴鑫宝货币,0.7870,0.25%,0.87%,1.86%,4.11%,--,5.22%
004897,长安鑫恒回报混合A,1.0205,-1.06%,-9.17%,-13.29%,-5.31%,--,2.57%
004898,长安鑫恒回报混合C,1.0180,-1.08%,-9.18%,-13.35%,-5.51%,--,2.31%
004899,中银信享定期开放债券,1.0311,0.56%,1.54%,3.18%,6.20%,--,6.20%
004900,财通资管鑫锐混合A,0.9374,-0.10%,-3.88%,-8.76%,--,--,-6.16%
004901,财通资管鑫锐混合C,0.9339,-0.12%,-3.94%,-8.91%,--,--,-6.51%
004902,富国丰利增强债券,0.9852,-0.99%,-1.97%,-2.58%,-2.07%,--,-1.52%
004903,人保货币A,0.6478,0.22%,0.73%,1.65%,3.75%,--,4.25%
004904,人保货币B,0.7141,0.24%,0.79%,1.77%,4.00%,--,4.53%
004905,华泰柏瑞生物医药混合,0.9843,-4.47%,-20.17%,-15.59%,-3.10%,--,-1.38%
004906,农银汇理金鸿一年定开债,,,,,,,
004907,长安鑫垚主题混合A,1.0222,-1.61%,-9.89%,-13.79%,-4.56%,--,2.86%
004908,长安鑫垚主题混合C,1.0119,-1.61%,-10.53%,-14.28%,-5.48%,--,1.83%
004910,中加颐享纯债债券,1.0151,0.42%,1.93%,2.85%,5.43%,--,6.37%
004911,中加纯债定开债券A,1.0132,0.30%,1.67%,2.93%,6.00%,--,6.22%
004912,中加纯债定开债券C,1.0001,0.00%,0.00%,0.00%,0.00%,--,0.00%
004913,中银证券聚瑞混合A,0.9864,0.57%,0.56%,-2.04%,--,--,-1.44%
004914,中银证券聚瑞混合C,0.9847,0.56%,0.53%,-2.10%,--,--,-1.61%
004916,嘉实新添丰定期混合,1.0546,0.08%,-0.40%,-0.23%,4.34%,--,5.36%
004917,中银证券祥瑞混合A,0.8752,-1.33%,-2.90%,-12.57%,--,--,-12.23%
004918,中银证券祥瑞混合C,0.8738,-1.33%,-2.92%,-12.61%,--,--,-12.37%
004919,兴全兴泰定期开放债券,1.0220,0.63%,1.84%,3.38%,6.05%,--,6.53%
004920,富国泓利纯债,1.0269,0.77%,2.40%,3.28%,5.65%,--,6.27%
004921,华夏鼎瑞三个月定开债A,1.0484,0.63%,2.05%,3.31%,--,--,5.35%
004922,华夏鼎瑞三个月定开债C,--,--,--,--,--,--,0.00%
004923,华夏鼎祥三个月定开债A,1.0403,0.69%,1.96%,2.93%,--,--,4.77%
004924,华夏鼎祥三个月定开债C,--,--,--,--,--,--,0.00%
004925,长信低碳环保行业量化股票,0.7351,-4.23%,-14.42%,-23.87%,--,--,-26.37%
004926,中航军民融合精选A,0.8967,-1.44%,-5.80%,-12.55%,--,--,-10.43%
004927,中航军民融合精选C,0.8920,-1.44%,-5.85%,-12.73%,--,--,-10.89%
004932,招商丰拓灵活混合A,0.9659,-3.09%,-5.89%,-8.15%,-3.22%,--,-2.98%
004933,招商丰拓灵活混合C,0.9594,-3.13%,-6.03%,-8.43%,-3.82%,--,-3.63%
004934,圆信永丰消费升级,0.8353,-0.38%,-12.70%,-16.87%,--,--,-16.79%
004935,国都智能制造,0.6592,-5.70%,-17.10%,-24.61%,-33.96%,--,-33.96%
004936,中航混改精选混合A,0.8919,-1.47%,-4.28%,-12.51%,--,--,-10.97%
004937,中航混改精选混合C,0.8856,-1.48%,-4.33%,-12.66%,--,--,-11.61%
004938,中欧滚钱宝货币B,0.8859,0.27%,0.90%,1.96%,4.24%,--,5.37%
004939,中欧滚钱宝货币C,0.8205,0.25%,0.84%,1.84%,3.99%,--,5.06%
004940,中加聚鑫纯债一年定开A,1.0523,0.40%,2.06%,2.80%,5.12%,--,5.19%
004941,中加聚鑫纯债一年定开C,1.0491,0.37%,1.97%,2.65%,4.81%,--,4.87%
004942,格林伯元灵活配置A,0.9392,0.37%,-1.84%,-4.03%,--,--,-6.16%
004943,格林伯元灵活配置C,0.9382,0.36%,-1.88%,-4.11%,--,--,-6.26%
004944,鑫元鑫趋势灵活配置混合A,0.9405,-1.26%,-7.58%,-11.74%,-6.30%,--,-5.45%
004945,长信中证500指数增强,0.7597,-5.54%,-14.43%,-20.98%,-23.70%,--,-23.11%
004946,汇添富盈润混合A,1.0434,1.48%,-0.82%,-1.97%,2.84%,--,4.12%
004947,汇添富盈润混合C,1.0340,1.46%,-0.92%,-2.17%,1.95%,--,3.18%
004948,鑫元鑫趋势灵活配置混合C,0.9338,-1.29%,-7.66%,-11.93%,-6.87%,--,-6.13%
004950,金元顺安量化多策略混合A,,,,,,,
004951,申万菱信价值优利混合,0.8654,-0.76%,-8.06%,-13.04%,-13.63%,--,-13.34%
004952,兴全恒益债券A,1.0061,-2.17%,-1.92%,-2.65%,-0.19%,--,-0.09%
004953,兴全恒益债券C,1.0016,-2.20%,-2.03%,-2.85%,-0.64%,--,-0.54%
004956,中银证券安誉债券A,1.0058,0.44%,1.09%,2.04%,--,--,2.10%
004957,中银证券安誉债券C,1.8581,0.39%,1.02%,87.25%,--,--,87.35%
004958,圆信永丰优享生活,0.8601,-2.72%,-10.70%,-18.16%,-14.79%,--,-14.53%
004959,圆信永丰优悦生活混合,0.8643,-1.87%,-8.98%,-14.46%,--,--,-14.07%
004965,泓德致远混合A,0.9988,-2.88%,-8.42%,-5.95%,-0.22%,--,0.25%
004966,泓德致远混合C,0.9898,-2.93%,-8.60%,-6.32%,-1.04%,--,-0.64%
004967,红土创新货币A,0.5904,0.22%,0.75%,1.70%,3.86%,--,4.55%
004968,红土创新货币B,0.6564,0.24%,0.81%,1.82%,4.11%,--,4.85%
004970,南方天天宝货币A,1.1102,0.23%,0.91%,1.85%,3.79%,--,4.38%
004971,南方天天宝货币B,1.1764,0.25%,0.97%,1.97%,4.04%,--,4.67%
004972,长城收益宝货币A,0.9473,0.28%,0.99%,2.08%,4.38%,--,4.72%
004973,长城收益宝货币B,1.0121,0.30%,1.05%,2.20%,4.63%,--,4.99%
004975,交银恒益灵活配置混合,0.9728,-0.72%,-6.12%,-6.28%,-3.23%,--,-2.76%
004978,富国聚利纯债定期开放,1.0587,1.41%,2.19%,3.74%,6.21%,--,6.73%
004979,华夏鼎诺三个月定开债A,1.0331,0.57%,1.44%,1.60%,--,--,3.69%
004980,华夏鼎诺三个月定开债C,--,--,--,--,--,--,0.00%
004982,新华安享多裕定开混合,--,--,--,--,--,--,-0.42%
004983,鹏扬现金通利货币A,0.7301,0.24%,0.78%,1.77%,3.95%,--,4.03%
004984,鹏扬现金通利货币B,0.7836,0.25%,0.83%,1.87%,4.16%,--,4.25%
004985,博时合晶货币,0.6355,0.19%,0.72%,1.66%,3.52%,--,4.04%
004986,鹏华策略回报混合,0.8043,-0.25%,-18.92%,-19.19%,-3.11%,--,-2.37%
004987,诺德新享灵活配置混合,1.1095,-1.06%,-3.48%,-0.85%,7.44%,--,10.89%
004988,人保双利A,0.9899,-1.38%,-2.09%,-2.92%,--,--,-1.07%
004989,人保双利C,0.9860,-1.41%,-2.20%,-3.16%,--,--,-1.47%
004993,中欧可转债债券A,0.9397,-0.89%,-1.51%,-5.85%,--,--,-6.12%
004994,中欧可转债债券C,0.9361,-0.91%,-1.60%,-6.03%,--,--,-6.47%
004995,广发品牌消费股票发起式,0.7742,-0.96%,-18.96%,-18.51%,--,--,-22.70%
004996,广发恒生中型股指数C,--,-0.35%,-8.55%,-13.22%,-17.40%,--,-17.43%
004997,广发高端制造股票,0.6893,-7.82%,-18.24%,-30.11%,-30.97%,--,-30.49%
004998,长信全球债券人民币,--,0.52%,3.58%,5.75%,--,--,1.75%
004999,长信全球债券美元,--,-0.34%,-0.67%,-3.66%,--,--,-2.64%
005000,泰康泉林量化价值精选混合A,0.7380,-4.56%,-14.16%,-24.06%,-26.18%,--,-26.18%
005001,交银持续成长主题混合,0.9750,-5.90%,-12.40%,-7.51%,--,--,-2.28%
005002,交银天运宝货币A,0.5739,0.21%,0.75%,1.72%,--,--,2.66%
005003,交银天运宝货币E,0.6397,0.23%,0.82%,1.84%,--,--,2.85%
005004,交银品质升级混合,0.8260,-0.47%,-15.45%,-15.62%,--,--,-17.35%
005005,中金金泽A,0.8429,0.39%,-5.40%,-14.46%,-17.67%,--,-15.70%
005006,中金金泽C,0.8387,0.36%,-5.50%,-14.61%,-18.05%,--,-16.12%
005007,景顺长城景瑞睿利回报混合,0.9879,0.33%,-0.45%,0.34%,-1.24%,--,-1.09%
005008,东方红汇阳债券Z,1.0479,0.30%,-0.13%,-0.17%,2.79%,--,4.21%
005009,申万菱信行业轮动股票,0.6895,-1.41%,-20.70%,-26.52%,-31.52%,--,-31.50%
005010,金鹰添瑞中短债A,1.0225,0.32%,1.25%,2.61%,5.77%,--,5.91%
005011,金鹰添瑞中短债C,1.0191,0.29%,1.16%,2.41%,5.33%,--,5.46%
005012,南华丰和混合A,,,,,,,
005013,南华丰和混合C,,,,,,,
005014,泰康景泰回报混合A,0.9829,1.04%,-2.72%,-1.93%,--,--,-2.08%
005015,泰康景泰回报混合C,0.9813,1.02%,-2.77%,-2.08%,--,--,-2.23%
005016,长江优享货币A,2.2516,0.26%,0.77%,1.74%,3.82%,--,4.49%
005017,长江优享货币B,2.3183,0.28%,0.83%,1.86%,4.08%,--,4.78%
005018,国金民丰回报6个月定开混合,0.9967,-1.33%,-1.41%,-2.40%,--,--,-2.10%
005019,国投瑞银和泰6个月债券,1.0238,0.86%,2.15%,4.17%,--,--,6.40%
005020,信诚智惠金货币,0.5353,0.17%,0.57%,1.39%,3.55%,--,4.22%
005021,渤海汇金量化汇盈混合,1.0079,0.02%,--,--,--,--,0.72%
005024,南方兴利定开债券,1.0179,0.67%,1.97%,3.33%,5.70%,--,5.90%
005025,交银丰盈收益债券C,1.1031,0.18%,0.27%,5.65%,7.19%,--,7.61%
005027,光大多策略优选定开混合,--,-2.77%,-3.46%,-9.63%,--,--,-10.88%
005028,鹏华研究精选灵活配置混合,0.7873,-6.23%,-18.67%,-21.20%,-21.16%,--,-21.16%
005033,银华智能汽车量化股票发起式A,0.6446,-3.67%,-14.27%,-23.46%,-35.92%,--,-35.94%
005034,银华智能汽车量化股票发起式C,0.6436,-3.69%,-14.30%,-23.49%,-36.00%,--,-36.03%
005035,银华信息科技量化股票发起式A,0.6238,-12.90%,-19.64%,-30.08%,-38.33%,--,-38.16%
005036,银华信息科技量化股票发起式C,0.6258,-12.91%,-19.58%,-30.05%,-38.11%,--,-37.95%
005037,银华新能源新材料A,0.6148,-4.66%,-16.57%,-29.02%,-38.39%,--,-38.38%
005038,银华新能源新材料C,0.6118,-4.69%,-16.66%,-29.18%,-38.68%,--,-38.68%
005039,鹏扬景兴混合A,1.0059,1.25%,-2.43%,-4.57%,0.63%,--,0.65%
005040,鹏扬景兴混合C,1.0007,1.21%,-2.54%,-4.77%,0.10%,--,0.12%
005041,人保研究精选混合A,0.8718,-4.83%,-11.10%,-13.42%,--,--,-12.83%
005042,人保研究精选混合C,0.8681,-4.87%,-11.21%,-13.68%,--,--,-13.21%
005043,国寿安保健康科学混合A,0.8812,-1.06%,-11.47%,-14.15%,--,--,-11.33%
005044,国寿安保健康科学混合C,0.8769,-1.09%,-11.54%,-14.35%,--,--,-11.75%
005047,南华瑞颐混合A,0.8703,-3.15%,-8.04%,-14.43%,--,--,-13.00%
005048,南华瑞颐混合C,0.8510,-3.18%,-8.13%,-14.68%,--,--,-14.93%
005049,长安鑫旺价值混合A,0.9691,-0.65%,-10.75%,-14.37%,-7.16%,--,-3.52%
005050,长安鑫旺价值混合C,0.9693,-0.67%,-10.77%,-14.38%,-7.13%,--,-3.50%
005051,上投标普港股通低波红利指数A,--,0.11%,-1.62%,-2.01%,--,--,-3.96%
005052,上投标普港股通低波红利指数C,--,0.08%,-1.74%,-2.25%,--,--,-4.30%
005053,银河量化价值混合,0.8245,-1.03%,-6.39%,-12.74%,--,--,-17.59%
005054,泰康瑞坤纯债债券,1.0753,0.55%,1.78%,5.37%,--,--,7.55%
005055,华泰柏瑞量化阿尔法,0.8417,-3.77%,-11.08%,-16.53%,-15.84%,--,-15.81%
005056,东方红货币A,0.6732,0.21%,0.68%,1.64%,3.66%,--,3.72%
005057,东方红货币B,0.7388,0.23%,0.75%,1.76%,3.91%,--,3.96%
005058,东方红货币E,0.7144,0.22%,0.72%,1.71%,3.81%,--,3.88%
005059,南方安福混合,0.9966,0.09%,-1.02%,-1.24%,--,--,-0.21%
005060,金元顺安量化多策略混合C,,,,,,,
005061,农银永益定开混合,--,0.14%,-0.87%,-1.08%,--,--,-1.05%
005062,博时中证500指数增强A,0.7490,-7.01%,-14.39%,-22.17%,-24.63%,--,-24.49%
005063,广发中证全指家用电器指数A,0.7659,-3.79%,-20.09%,-25.78%,-25.16%,--,-23.35%
005064,广发中证全指家用电器指数C,--,-3.80%,-20.09%,-25.82%,-25.29%,--,-23.51%
005065,中金现金管家C,,--,--,--,--,--,--
005067,融通逆向策略灵活配置混合,0.8059,-0.46%,-9.69%,-18.11%,--,--,-16.11%
005068,长信富海纯债一年定开债A,1.0324,0.20%,1.26%,2.28%,3.68%,--,3.80%
005069,长信富民纯债一年定开债A,0.9893,-1.07%,-1.22%,-1.15%,0.41%,--,-0.52%
005070,长江乐丰纯债,1.0241,0.75%,2.17%,2.86%,4.70%,--,5.29%
005072,中银丰进定期开放债券,1.0693,0.88%,0.84%,4.63%,--,--,7.35%
005073,永赢永益债券A,1.0175,0.39%,1.38%,2.68%,5.48%,--,5.84%
005074,永赢永益债券C,1.0211,0.38%,1.74%,2.98%,5.68%,--,6.12%
005075,富国研究量化精选混合,0.7683,-2.33%,-12.10%,-19.48%,--,--,-22.92%
005076,创金合信优选回报灵活配置混合,0.9032,-1.42%,-2.31%,-7.50%,-9.48%,--,-9.47%
005077,平安大华合韵定开债,1.0157,0.53%,0.91%,--,--,--,1.61%
005078,富国宝利增强债券,1.0041,0.35%,-0.18%,-0.43%,--,--,0.48%
005080,海富通量化多因子混合C,0.8640,-0.66%,-10.55%,--,--,--,-13.68%
005081,海富通量化多因子混合A,0.8612,-0.58%,-11.19%,--,--,--,-13.92%
005082,诺德量化蓝筹增强混合A,0.9161,-1.54%,-6.41%,-9.12%,--,--,-8.69%
005083,诺德量化蓝筹增强混合C,0.9133,-1.55%,-6.42%,-9.22%,--,--,-8.97%
005084,平安大华量化先锋A,0.8482,0.18%,-8.75%,-12.94%,--,--,-15.00%
005085,平安大华量化先锋C,0.8409,0.11%,-8.94%,-13.29%,--,--,-15.73%
005086,南华现金宝货币A,,--,--,--,--,--,--
005087,南华现金宝货币B,,--,--,--,--,--,--
005088,嘉实新添辉定期混合A,1.0452,0.19%,0.05%,1.16%,4.06%,--,4.41%
005089,嘉实新添辉定期混合C,1.0387,0.14%,-0.11%,0.86%,3.43%,--,3.76%
005090,嘉合睿金混合发起式A,0.9858,-0.99%,-3.31%,-2.83%,--,--,-2.65%
005091,嘉合睿金混合发起式C,0.9860,-1.00%,-3.33%,-2.87%,--,--,-2.70%
005092,广发货币C,0.7358,0.23%,0.80%,1.78%,3.87%,--,4.52%
005093,中银中债7-10年期国开债指数,1.0408,0.69%,0.90%,3.98%,--,--,4.08%
005094,万家臻选混合,0.8039,-8.20%,-21.85%,-22.47%,--,--,-20.00%
005095,国泰量化成长优选混合A,0.7658,-7.50%,-20.71%,--,--,--,-23.70%
005096,国泰量化成长优选混合C,0.7613,-7.59%,-21.03%,--,--,--,-24.15%
005097,易方达现金增利货币C,0.9445,0.29%,0.97%,2.11%,--,--,2.52%
005098,易方达龙宝货币C,0.8702,0.28%,0.90%,1.96%,4.17%,--,4.69%
005099,易方达掌柜季季盈理财债券B,0.8688,0.27%,0.95%,2.09%,4.50%,--,4.85%
005100,易方达掌柜季季盈理财债券C,0.8578,0.26%,0.94%,2.07%,4.46%,--,4.91%
005101,易方达月月利理财债券C,0.8295,0.25%,0.93%,2.03%,4.35%,--,4.88%
005104,富荣福康混合A,0.7652,-5.34%,-13.29%,-22.82%,--,--,-22.84%
005105,富荣福康混合C,0.7650,-5.34%,-13.30%,-22.84%,--,--,-22.86%
005106,银华农业产业股票发起式,0.8240,0.41%,-9.04%,-12.51%,-17.57%,--,-17.58%
005107,广发添利货币ETFB,0.6516,0.21%,0.72%,1.59%,3.21%,--,3.78%
005108,圆信永丰双利优选,0.9381,0.70%,-4.61%,-5.52%,--,--,-6.85%
005109,汇安多策略混合A,0.8393,-1.48%,-10.18%,-15.96%,--,--,-16.05%
005110,汇安多策略混合C,0.8355,-1.51%,-10.28%,-16.17%,--,--,-16.44%
005111,泰康泉林量化价值精选混合C,0.7363,-4.61%,-14.28%,-24.14%,-26.34%,--,-26.34%
005112,银华中证全指医药卫生,0.9714,-5.40%,-21.22%,-14.82%,-1.82%,--,-1.82%
005113,平安大华沪深300指数量化A,0.7721,-0.03%,-8.06%,-16.10%,--,--,-22.38%
005114,平安大华沪深300指数量化C,0.7684,-0.06%,-8.18%,-16.37%,--,--,-22.75%
005115,国泰量化价值精选混合A,0.8926,-1.64%,-10.05%,--,--,--,-10.03%
005116,国泰量化价值精选混合C,0.8892,-1.72%,-10.23%,--,--,--,-10.38%
005117,金信价值精选灵活配置混合A,0.5738,0.15%,-10.73%,-28.24%,-38.88%,--,-41.01%
005118,金信价值精选灵活配置混合C,0.5744,0.25%,-10.60%,-28.17%,-38.81%,--,-40.95%
005119,银华智荟内在价值灵活配置,0.6577,-4.66%,-14.19%,-27.33%,-33.23%,--,-33.23%
005120,上投摩根量化多因子混合,0.7909,-1.46%,-14.78%,-19.12%,--,--,-20.85%
005121,富国兴利增强债券,0.9894,-0.60%,-2.18%,-2.71%,-1.16%,--,-1.05%
005122,易方达天天理财货币C,0.8146,0.25%,0.86%,1.86%,--,--,3.82%
005123,南方优享分红混合,0.8450,0.20%,-13.24%,-14.18%,--,--,-16.07%
005124,易方达恒益定开债券发起式,1.0335,0.49%,1.80%,2.93%,--,--,5.28%
005125,华宝标普中国A股红利机会指数C,--,-3.81%,-10.65%,-18.46%,-21.99%,--,-20.11%
005126,银河量化稳进混合,0.8499,-1.74%,-7.74%,-12.68%,--,--,-14.91%
005127,平安大华合正定开债,1.0399,0.83%,2.17%,3.96%,--,--,5.07%
005128,华夏永康添福混合,0.9546,-1.24%,-2.45%,-5.66%,--,--,-4.10%
005129,富国金利定开混合A,--,0.25%,1.27%,1.53%,--,--,2.24%
005130,富国金利定开混合C,--,0.21%,1.16%,1.33%,--,--,1.93%
005131,海富通盈鑫货币A,,--,--,--,--,--,--
005132,海富通盈鑫货币B,,--,--,--,--,--,--
005133,兴业量化精选混合,0.7217,-7.08%,-14.43%,-25.72%,--,--,-28.22%
005134,长信长金通货币A,0.9904,0.26%,0.90%,1.95%,4.20%,--,4.50%
005135,长信长金通货币B,1.0283,0.27%,0.94%,2.03%,3.21%,--,3.21%
005136,华安幸福生活混合,0.8008,-0.66%,-13.33%,-20.71%,--,--,-19.62%
005137,长信量化价值精选混合,0.8790,-1.19%,-8.07%,--,--,--,-11.99%
005138,前海开源润鑫混合A,1.0629,1.30%,7.12%,6.13%,--,--,6.19%
005139,前海开源润鑫混合C,1.0598,1.29%,7.12%,5.82%,--,--,5.88%
005140,华夏睿磐泰荣混合A,0.9985,0.11%,0.35%,-0.41%,--,--,-0.18%
005141,华夏睿磐泰荣混合C,0.9960,0.09%,0.27%,-0.56%,--,--,-0.43%
005142,中融沪港深大消费主题A,0.7528,-4.22%,-16.69%,-18.88%,--,--,-24.46%
005143,中融沪港深大消费主题C,0.7505,-4.23%,-16.74%,-18.98%,--,--,-24.68%
005144,东吴优益债券A,0.9650,-0.94%,-1.36%,-1.51%,--,--,-3.64%
005145,东吴优益债券C,0.9567,-0.97%,-1.46%,-1.73%,--,--,-4.48%
005146,兴银丰润灵活配置混合,0.9115,-0.87%,-3.10%,-8.35%,--,--,-8.87%
005148,新华活期添利货币E,0.9529,0.29%,0.97%,2.05%,4.36%,--,4.79%
005150,红土创新优淳货币A,0.6835,0.24%,0.83%,1.90%,4.18%,--,4.45%
005151,红土创新优淳货币B,0.7502,0.26%,0.89%,2.02%,4.43%,--,4.72%
005152,农银沪深300指数C,1.0860,-1.08%,-7.98%,-16.13%,--,--,-19.30%
005153,农银汇理日日鑫交易型货币C,0.8455,0.26%,0.88%,1.90%,--,--,3.87%
005156,嘉实领航资产配置混合A,--,0.43%,-0.51%,-2.06%,--,--,-4.00%
005157,嘉实领航资产配置混合C,--,0.37%,-0.72%,-2.47%,--,--,-4.88%
005158,长江乐盈定开债发起式,1.0212,0.42%,1.19%,2.49%,--,--,4.60%
005159,华泰保兴尊合债券A,1.0521,0.41%,1.52%,2.60%,--,--,5.19%
005160,华泰保兴尊合债券C,1.0502,0.39%,1.46%,2.49%,--,--,4.99%
005161,华商上游产业股票,0.7985,-0.55%,-10.18%,-14.65%,--,--,-19.88%
005162,中银如意宝货币B,0.6736,0.23%,0.82%,1.88%,4.14%,--,4.48%
005164,富荣福锦混合A,0.8710,-4.38%,-10.86%,-12.77%,--,--,-12.46%
005165,富荣福锦混合C,0.8632,-4.39%,-11.19%,-13.37%,--,--,-13.24%
005166,嘉实润和量化定期混合,0.9742,-0.92%,-1.42%,-3.14%,--,--,-2.57%
005167,嘉实润泽量化定期混合,0.9639,-0.83%,-1.10%,-3.25%,--,--,-3.59%
005168,信达澳银新征程定开混合A,1.0218,0.51%,0.82%,2.04%,--,--,2.12%
005169,华泰保兴策略精选A,1.0022,-0.22%,-0.42%,-1.42%,--,--,-0.14%
005170,华泰保兴策略精选C,0.9978,0.24%,-0.73%,-1.25%,--,--,-0.30%
005171,富国景利纯债债券,1.0323,0.66%,1.89%,3.43%,--,--,5.48%
005172,泰康安悦纯债3月定开债券,1.0243,0.54%,1.79%,3.82%,--,--,6.22%
005173,富荣富安债券A,1.0234,0.49%,1.74%,2.30%,--,--,2.39%
005174,富荣富安债券C,1.0210,0.46%,1.65%,2.06%,--,--,2.15%
005175,国寿安保消费新蓝海混合,0.7770,-3.11%,-17.63%,-21.58%,--,--,-22.03%
005176,富国精准医疗混合,1.1065,-3.58%,-19.61%,-8.34%,--,--,11.05%
005177,华夏睿磐泰利定开混合A,0.9780,-0.02%,-0.09%,-1.61%,--,--,-2.52%
005178,华夏睿磐泰利定开混合C,0.9758,-0.45%,-1.85%,-2.69%,--,--,-3.63%
005179,信达澳银新起点定期开放混合A,1.0169,-0.05%,0.58%,--,--,--,1.36%
005183,博时富时中国A股指数,--,-3.56%,-13.25%,-22.71%,-27.30%,--,-27.30%
005185,国泰招惠收益定期开放债券,1.0504,0.57%,2.52%,3.89%,--,--,5.21%
005186,长安鑫兴混合A,0.8831,0.64%,-8.39%,-12.26%,--,--,-12.01%
005187,长安鑫兴混合C,0.8813,0.63%,-8.42%,-12.35%,--,--,-12.19%
005188,海富通量化前锋股票C,0.8501,0.64%,-12.26%,-14.98%,--,--,-14.94%
005189,海富通量化前锋股票A,0.8368,-1.51%,-14.08%,-16.59%,--,--,-16.32%
005193,北信瑞丰鼎利债券C,0.9957,0.08%,0.19%,-1.37%,--,--,-0.70%
005194,南方天天利货币E,0.8960,0.28%,0.97%,2.06%,4.37%,--,4.73%
005195,博时合丰货币A,,--,--,--,--,--,--
005196,博时合丰货币B,,--,--,--,--,--,--
005197,工银沪港深精选混合A,0.8660,-0.47%,-8.83%,-10.27%,--,--,-12.92%
005198,工银沪港深精选混合C,0.8620,-0.51%,-8.89%,-10.43%,--,--,-13.31%
005199,上银聚加利货币,,--,--,--,--,--,--
005202,兴业稳天盈货币B,1.2076,0.27%,0.96%,2.05%,4.36%,--,4.74%
005206,南方优选成长混合C,2.1343,-0.37%,-10.12%,-13.56%,--,--,-13.28%
005207,南方高端装备灵活配置混合C,1.2328,-6.54%,-15.35%,-21.76%,--,--,-22.10%
005208,国寿安保安裕纯债半年定开债,1.0615,0.82%,2.03%,4.23%,--,--,7.16%
005209,东吴双三角A,0.6999,-8.44%,-16.41%,-24.04%,--,--,-29.55%
005210,东吴双三角C,0.6955,-8.48%,-16.52%,-24.32%,--,--,-30.00%
005211,银河智慧混合,0.7978,-4.24%,-15.45%,-14.36%,--,--,-19.61%
005212,汇安稳裕债券,1.0582,4.65%,4.69%,5.64%,--,--,5.75%
005213,华夏鼎旺三个月定开债A,1.0404,0.87%,1.89%,3.22%,--,--,4.10%
005214,华夏鼎旺三个月定开债C,--,--,--,--,--,--,0.00%
