代码,名称,当前,近1月,近3月,近6月,近1年,近3年,成立来
003950,博时鑫润混合A,0.9944,-0.46%,-1.92%,-7.23%,-3.39%,--,3.02%
003951,博时鑫润混合C,0.9938,-0.48%,-1.95%,-7.29%,-3.50%,--,3.16%
003952,兴业18个月定开债A,1.0161,0.70%,1.96%,3.12%,4.82%,--,7.08%
003953,兴业18个月定开债C,1.0103,0.67%,1.89%,2.90%,4.34%,--,6.48%
003954,华泰柏瑞价值精选30混合,0.8851,-2.65%,-6.52%,-17.65%,-22.07%,--,-7.03%
003955,国泰民丰回报定开混合,--,-2.83%,-8.37%,-13.81%,-3.17%,--,14.79%
003956,南方教育股票,0.7470,-5.94%,-13.24%,-22.36%,-27.28%,--,-25.00%
003957,安信新起点混合A,0.9170,0.35%,-6.84%,-13.25%,-10.66%,--,-7.92%
003958,安信新起点混合C,0.9106,0.34%,-6.87%,-13.33%,-10.83%,--,-8.55%
003961,易方达瑞程灵活配置混合A,0.8844,-5.58%,-14.23%,-21.89%,-18.78%,--,-12.95%
003962,易方达瑞程灵活配置混合C,0.8817,-5.59%,-14.27%,-21.99%,-18.94%,--,-13.22%
003963,博时慧选纯债定开债,1.0782,0.38%,1.83%,3.46%,4.91%,--,7.81%
003966,中银润利混合A,1.0001,0.34%,-0.10%,0.26%,3.31%,--,9.80%
003967,中银润利混合C,0.9991,0.34%,-0.12%,0.22%,3.22%,--,9.60%
003968,交银天益宝货币A,0.5592,0.20%,0.79%,1.74%,3.71%,--,7.04%
003969,交银天益宝货币E,0.6254,0.22%,0.85%,1.87%,3.96%,--,7.50%
003970,华泰柏瑞兴利混合A,0.8817,-2.28%,-6.59%,-14.28%,-12.89%,--,-0.74%
003971,华泰柏瑞兴利混合C,0.8882,-2.28%,-6.60%,-14.35%,-12.52%,--,-0.02%
003972,国富美元债定开债人民币,1.0101,0.38%,6.85%,8.63%,4.21%,--,1.22%
003973,国富美元债定开债美元现汇,0.1468,0.20%,0.62%,-0.14%,-0.27%,--,0.89%
003976,中信建投稳惠债券A,,,,,,,
003977,中信建投稳惠债券C,,,,,,,
003978,中信建投稳祥A,1.0478,0.49%,1.87%,2.54%,4.56%,--,7.43%
003979,中信建投稳祥C,1.0457,0.47%,1.80%,2.42%,4.32%,--,7.01%
003980,中银证券瑞益混合A,0.9771,0.25%,-3.49%,-10.33%,-7.54%,--,-2.53%
003981,中银证券瑞益混合C,0.9684,0.22%,-3.60%,-10.56%,-8.05%,--,-3.40%
003982,国投瑞银顺益纯债债券,,,,,,,
003983,鹏华丰惠债券,1.0575,0.55%,1.98%,3.31%,5.30%,--,7.28%
003984,嘉实新能源新材料股票A,0.7662,-5.65%,-15.96%,-28.93%,-32.75%,--,-23.68%
003985,嘉实新能源新材料股票C,0.7612,-5.70%,-16.07%,-29.08%,-32.89%,--,-24.19%
003986,申万菱信中证500指数优选增强,0.9215,-4.54%,-13.72%,-21.23%,-22.58%,--,-3.36%
003987,银华中债10年期金融债指数A,1.0416,0.95%,0.79%,3.73%,3.46%,--,4.20%
003988,银华中债10年期金融债指数C,1.0339,0.47%,0.28%,3.26%,2.88%,--,3.43%
003989,银华中债5年期金融债指数A,1.0627,0.87%,1.56%,3.81%,5.10%,--,6.21%
003990,银华中债5年期金融债指数C,1.0848,0.87%,2.02%,6.22%,7.42%,--,8.42%
003991,富国富利稳健配置混合A,,,,,,,
003992,富国富利稳健配置混合C,,,,,,,
003993,前海开源沪港深核心驱动混合,1.0863,-0.28%,-4.36%,-6.57%,-10.84%,--,8.53%
003994,华富货币B,0.6971,0.24%,0.76%,1.69%,3.86%,--,5.42%
003995,银华中债AAA信用债指数A,1.0622,0.62%,1.37%,2.87%,5.31%,--,6.28%
003996,银华中债AAA信用债指数C,1.2914,0.60%,1.48%,2.94%,28.11%,--,29.21%
003997,泓德添利货币A,1.0493,0.30%,0.83%,1.78%,3.84%,--,5.55%
003998,泓德添利货币B,1.1019,0.32%,0.89%,1.90%,4.09%,--,5.91%
003999,富荣富祥纯债,1.0485,0.58%,2.80%,3.07%,4.34%,--,7.30%
004000,泰达睿选稳健混合,0.8479,-2.39%,-8.51%,-14.80%,-19.95%,--,-15.51%
004001,泰达宏利恒利债券A,1.0203,0.91%,1.70%,3.41%,5.98%,--,8.19%
004002,泰达宏利恒利债券C,1.0168,0.87%,1.61%,3.22%,5.61%,--,7.61%
004005,东方民丰回报赢安混合A,0.9963,0.51%,-2.63%,-2.09%,-3.02%,--,0.94%
004006,东方民丰回报赢安混合C,0.9943,0.49%,-2.70%,-2.06%,-3.13%,--,0.59%
004008,中融鑫思路混合A,1.3121,0.44%,-1.91%,-4.70%,-4.69%,--,67.35%
004009,中融鑫思路混合C,1.2907,0.43%,-1.95%,-4.80%,-5.70%,--,64.82%
004010,华泰柏瑞鼎利灵活配置混合A,1.0355,0.26%,-0.31%,1.08%,3.41%,--,9.88%
004011,华泰柏瑞鼎利灵活配置混合C,1.0604,0.25%,-0.36%,0.96%,6.00%,--,12.52%
004012,华泰柏瑞裕利混合A,1.0063,-2.40%,-2.77%,-5.02%,-8.25%,--,-1.29%
004013,华泰柏瑞裕利混合C,0.9621,-2.22%,-2.65%,-8.93%,-12.15%,--,-5.64%
004014,华泰柏瑞锦利混合A,0.9954,-2.62%,-3.60%,-5.71%,-9.09%,--,-2.24%
004015,华泰柏瑞锦利混合C,0.9488,-2.41%,-3.38%,-9.43%,-12.89%,--,-6.40%
004020,广发景祥纯债,1.0281,0.49%,1.31%,2.71%,5.03%,--,7.54%
004021,广发汇富一年定期债券A,1.0557,0.61%,2.15%,3.37%,5.35%,--,8.10%
004022,广发汇富一年定期债券C,1.0520,0.57%,2.06%,3.18%,4.94%,--,7.40%
004023,广发量化稳健混合,,,,,,,
004024,华泰保兴尊诚一年定开债,1.0887,0.44%,2.51%,3.63%,6.10%,--,8.81%
004025,融通收益增强债券A,1.0431,0.59%,0.59%,1.59%,3.85%,--,4.33%
004026,融通收益增强债券C,1.0385,0.55%,0.48%,1.39%,3.45%,--,3.87%
004027,广发景源纯债A,1.0530,0.65%,1.76%,3.24%,6.01%,--,8.97%
004028,广发景源纯债C,1.0495,0.62%,1.67%,3.04%,5.60%,--,8.27%
004030,嘉实丰安6个月定期债券,1.0582,0.52%,1.69%,3.22%,5.17%,--,7.59%
004031,鑫元添利债券,1.0272,0.04%,-0.03%,0.10%,1.25%,--,2.65%
004032,工银丰淳半年定开债券,1.0120,0.17%,0.91%,1.32%,3.80%,--,6.11%
004033,金鹰添荣纯债债券,1.0289,0.70%,1.98%,3.36%,5.27%,--,8.79%
004034,博时弘康18个月定开债A,1.0038,-0.35%,0.48%,-0.94%,0.67%,--,5.26%
004035,博时弘康18个月定开债C,1.0027,-0.41%,0.36%,-1.16%,0.24%,--,4.59%
004038,中银富享定开债,1.0034,0.92%,1.34%,2.31%,4.15%,--,5.96%
004039,中欧骏泰货币,0.8188,0.25%,0.80%,1.84%,4.09%,--,7.67%
004040,金鹰医疗健康产业A,0.9060,-3.16%,-8.44%,-9.38%,-9.28%,--,-8.45%
004041,金鹰医疗健康产业C,0.9586,-3.18%,-8.54%,-9.56%,-3.38%,--,-3.03%
004042,华夏鼎茂债券A,1.0789,0.61%,2.10%,4.47%,8.25%,--,8.79%
004043,华夏鼎茂债券C,1.0858,0.60%,2.08%,4.42%,8.15%,--,8.67%
004044,金鹰转型动力混合,0.8271,0.68%,-7.26%,-11.87%,--,--,-16.95%
004045,金鹰添润定开债,1.0102,0.54%,2.14%,2.69%,5.17%,--,8.77%
004046,华夏新锦顺混合A,1.2878,0.25%,0.25%,1.81%,4.65%,--,28.69%
004047,华夏新锦顺混合C,1.1432,0.24%,0.22%,1.75%,4.52%,--,14.24%
004048,华夏新锦汇混合A,1.0966,0.56%,0.61%,1.24%,3.56%,--,9.63%
004049,华夏新锦汇混合C,--,--,--,--,--,--,0.00%
004050,华夏新锦升混合A,0.9257,-2.13%,-5.97%,-9.06%,-8.78%,--,-2.86%
004051,华夏新锦升混合C,--,--,--,--,--,--,0.00%
004052,华夏鼎智债券A,1.0247,0.41%,1.34%,2.56%,4.94%,--,7.51%
004053,华夏鼎智债券C,1.0246,0.40%,1.32%,2.52%,4.85%,--,7.35%
004056,华夏惠利货币A,0.7754,0.26%,0.83%,1.76%,3.79%,--,6.60%
004059,鑫元招利债券,1.0367,0.55%,1.70%,3.10%,5.37%,--,7.53%
004060,博时兴盛货币,0.5096,0.18%,0.57%,1.49%,3.67%,--,7.44%
004061,华夏鼎隆债券A,0.9850,0.80%,-0.90%,-3.19%,-0.83%,--,1.14%
004062,华夏鼎隆债券C,0.9840,0.78%,-1.04%,-3.04%,-1.65%,--,-1.50%
004063,华夏恒融一年定开债,1.0502,-0.06%,0.51%,-0.27%,1.81%,--,5.06%
004065,中融量化多因子混合A,0.6241,-8.95%,-12.65%,-23.82%,-33.85%,--,-37.87%
004066,嘉实稳熙纯债债券,1.0237,0.67%,1.75%,3.24%,6.00%,--,8.94%
004069,南方中证全指证券ETF联接A,0.6404,-7.75%,-13.07%,-27.59%,-39.80%,--,-35.95%
004070,南方中证全指证券ETF联接C,0.6361,-7.78%,-13.17%,-27.75%,-40.04%,--,-36.38%
004072,金元顺安金通宝货币A,0.6399,0.20%,0.67%,1.55%,3.60%,--,6.36%
004073,金元顺安金通宝货币B,0.7057,0.22%,0.73%,1.67%,3.84%,--,6.81%
004075,交银医药创新股票,1.0807,-6.09%,-17.76%,-17.32%,-2.11%,--,7.55%
004076,国联安锐意成长混合,1.0470,0.93%,-6.77%,-7.79%,-7.14%,--,4.68%
004077,金信民发货币A,0.6960,0.22%,0.80%,1.77%,3.95%,--,6.97%
004078,金信民发货币B,0.7620,0.24%,0.86%,1.89%,4.20%,--,7.47%
004079,万家鑫丰纯债A,1.0370,0.82%,1.78%,3.82%,6.29%,--,9.05%
004080,万家鑫丰纯债C,1.0336,0.79%,1.72%,3.71%,6.06%,--,8.70%
004081,国联安鑫乾混合A,1.0977,0.71%,8.00%,5.81%,8.09%,--,12.28%
004082,国联安鑫乾混合C,1.0164,0.57%,0.42%,-1.73%,0.22%,--,3.87%
004083,国联安鑫隆混合A,1.0350,1.13%,1.50%,-0.04%,2.19%,--,6.12%
004084,国联安鑫隆混合C,1.0550,1.10%,1.41%,-0.20%,4.29%,--,8.05%
004085,工银国债(7-10年)指数A,1.0157,0.75%,0.10%,2.27%,2.80%,--,1.53%
004086,工银国债(7-10年)指数C,1.0155,0.76%,0.18%,2.34%,2.84%,--,1.52%
004087,银华添润定期开放债券,1.0460,0.70%,2.00%,3.76%,5.29%,--,7.36%
004089,汇添富鑫瑞债券A,1.0381,0.74%,1.38%,2.31%,4.43%,--,7.44%
004090,汇添富鑫瑞债券C,1.0243,0.67%,1.17%,1.89%,3.55%,--,6.03%
004091,博时沪港深价值优选A,1.0290,-5.32%,-14.87%,-17.96%,-19.20%,--,1.00%
004092,博时沪港深价值优选C,1.0215,-5.36%,-14.98%,-18.16%,-19.64%,--,0.26%
004093,金元顺安桉盛债券,1.0558,0.74%,1.61%,3.38%,4.09%,--,5.60%
004096,鹏华兴康灵活配置混合A,,,,,,,
004097,农银汇理日日鑫交易型货币A,0.8771,0.27%,0.91%,1.96%,4.16%,--,7.28%
004098,前海开源港股通股息率50强,0.9131,-0.08%,-4.34%,-11.48%,-13.80%,--,-8.46%
004099,前海开源沪港深景气行业精选混合,1.0469,-2.68%,-5.92%,-4.81%,-1.69%,--,4.98%
004100,鹏华安益增强混合,1.0911,0.16%,0.19%,2.92%,4.93%,--,9.09%
004101,国泰民安增益纯债A,0.9962,0.35%,-0.94%,-0.06%,2.09%,--,2.33%
004102,信诚稳悦债券A,1.0366,0.78%,1.81%,3.51%,5.93%,--,8.81%
004103,信诚稳悦债券C,1.0380,0.77%,1.81%,3.62%,6.00%,--,8.95%
004104,信诚稳鑫A,1.0188,0.87%,1.98%,3.72%,6.05%,--,8.03%
004105,信诚稳鑫C,1.0193,0.86%,1.95%,3.70%,5.96%,--,7.88%
004106,信诚稳丰A,1.0517,0.58%,1.55%,2.91%,5.34%,--,8.29%
004107,信诚稳丰C,1.0503,0.57%,1.53%,2.87%,5.24%,--,8.15%
004108,信诚稳泰A,0.9725,-2.26%,-1.90%,-0.65%,2.22%,--,5.28%
004109,信诚稳泰C,0.9785,-1.97%,-1.32%,-0.05%,2.81%,--,5.84%
004112,创金合信国企活力混合,0.8374,-3.12%,-5.20%,-14.84%,-21.31%,--,-16.20%
004113,华泰柏瑞泰利混合A,,,,,,,
004114,华泰柏瑞泰利混合C,,,,,,,
004116,嘉实新添瑞混合,1.1538,0.74%,-0.58%,-0.48%,2.14%,--,15.33%
004117,大成惠祥定开纯债债券,1.0130,0.45%,1.28%,2.68%,5.08%,--,7.62%
004118,博时裕鹏纯债债券,1.0975,0.71%,1.79%,3.47%,12.07%,--,14.82%
004119,广发创新驱动灵活配置混合,0.8798,1.04%,-16.24%,-17.73%,-14.52%,--,-12.30%
004120,国富安享货币,1.2220,0.28%,0.85%,1.85%,4.07%,--,5.70%
004121,兴银现金添利,0.7377,0.23%,0.76%,1.71%,3.88%,--,7.13%
004122,兴银长益定开债,1.0220,0.59%,1.85%,3.33%,5.76%,--,7.99%
004123,兴银长盈定开债,1.0245,0.61%,1.77%,3.39%,5.48%,--,7.59%
004124,民生加银鑫升纯债,1.0411,0.67%,1.57%,2.88%,5.72%,--,8.67%
004126,浦银安盛稳健增利债券A,1.0771,0.47%,1.70%,1.99%,2.86%,--,4.86%
004127,鹏华丰康债券,1.0352,0.77%,2.32%,4.26%,6.36%,--,8.62%
004128,前海联合泳隆混合,1.2034,0.27%,3.15%,-10.37%,-12.48%,--,24.03%
004129,国联安鑫汇混合A,0.9644,-1.02%,-4.96%,-7.71%,-4.95%,--,-1.22%
004130,国联安鑫汇混合C,0.9611,-1.05%,-5.05%,-7.88%,-5.28%,--,-1.84%
004131,国联安鑫发混合A,1.0268,0.70%,0.47%,-1.56%,1.03%,--,4.94%
004132,国联安鑫发混合C,1.0228,0.67%,0.36%,-1.77%,0.66%,--,4.32%
004133,中航航行宝货币,0.6141,0.20%,0.65%,1.57%,3.58%,--,6.10%
004134,农银金安18个月定开债,1.0696,0.36%,1.70%,3.25%,5.13%,--,7.23%
004135,申万菱信量化成长混合,0.7159,-6.19%,-11.75%,-21.36%,-26.57%,--,-28.67%
004136,博时民泽纯债债券,1.0398,0.41%,0.95%,2.09%,4.15%,--,7.10%
004137,博时合惠货币B,0.9229,0.29%,0.97%,2.09%,4.46%,--,7.72%
004138,上银鑫达混合,0.9368,-1.30%,-11.07%,-13.14%,-13.11%,--,-7.25%
004139,中邮军民融合灵活配置混合,0.7815,-7.84%,-13.81%,-18.33%,-25.28%,--,-20.90%
004140,兴业福鑫债券,1.0251,0.50%,1.70%,2.88%,5.09%,--,7.82%
004141,兴业瑞丰6个月定开债,1.0671,0.64%,1.97%,3.28%,5.45%,--,7.80%
004142,招商盛合灵活混合A,0.8526,-2.88%,-8.64%,-12.75%,-16.28%,--,-14.81%
004143,招商盛合灵活混合C,0.8486,-2.92%,-8.75%,-12.97%,-16.70%,--,-15.22%
004144,上投安丰回报A,1.0875,0.38%,3.60%,2.30%,4.22%,--,8.67%
004145,上投安丰回报C,1.0625,0.36%,1.67%,0.32%,2.04%,--,6.16%
004146,上投安泽回报混合A,1.0894,0.42%,3.74%,2.43%,4.41%,--,8.86%
004147,上投安泽回报混合C,1.0637,0.39%,1.69%,0.35%,2.17%,--,6.29%
004148,圆信永丰多策略,0.9322,-0.68%,-13.09%,-19.32%,-16.18%,--,-6.51%
004149,博时鑫惠混合A,1.0641,-0.06%,-1.32%,-3.94%,-0.80%,--,6.31%
004150,博时鑫惠混合C,1.0622,-0.08%,-1.34%,-3.99%,-0.91%,--,6.12%
004151,先锋日添利A,0.6437,0.20%,0.66%,1.58%,3.76%,--,5.76%
004152,先锋日添利B,0.7095,0.22%,0.72%,1.71%,4.01%,--,6.14%
004153,信诚新悦回报灵活配置混合A,1.0965,1.11%,-0.64%,-0.55%,2.15%,--,9.50%
004154,信诚新悦回报灵活配置混合B,1.0834,1.12%,-0.64%,-1.01%,1.50%,--,8.20%
004155,信诚至泰灵活配置混合A,1.0242,0.48%,0.35%,-3.43%,-3.71%,--,2.36%
004156,信诚至泰灵活配置混合C,1.0836,0.46%,0.50%,-3.31%,-3.55%,--,8.29%
004157,信诚至诚灵活配置混合A,1.1500,-0.17%,-0.43%,1.41%,11.77%,--,14.90%
004158,信诚至诚灵活配置混合B,1.1881,-0.25%,-0.59%,0.94%,8.81%,--,18.60%
004161,国泰企业信用精选A人民币,--,0.91%,4.63%,5.81%,2.79%,--,3.00%
004162,国泰企业信用精选A美元现汇,--,0.00%,0.34%,-3.43%,-1.39%,--,-2.99%
004163,国泰企业信用精选A美元现钞,--,0.00%,0.34%,-3.43%,-1.39%,--,-2.99%
004164,国泰企业信用精选C人民币,--,0.88%,4.52%,5.56%,2.32%,--,2.48%
004165,北信瑞丰增强回报,1.0696,0.43%,0.70%,0.52%,3.94%,--,6.80%
004166,东方价值挖掘灵活配置混合,0.8974,-0.30%,-3.75%,-7.50%,-11.07%,--,-5.25%
004167,安信活期宝货币B,0.8313,0.26%,0.94%,2.07%,4.37%,--,7.66%
004168,博时富嘉纯债债券,1.0680,0.68%,1.58%,3.28%,5.28%,--,6.79%
004169,万家现金增利货币A,0.6805,0.22%,0.75%,1.59%,3.44%,--,5.97%
004170,万家现金增利货币B,0.7360,0.24%,0.80%,1.68%,3.64%,--,6.30%
004171,信诚永益一年定开混合A,1.0213,0.78%,2.58%,3.95%,7.55%,--,9.79%
004172,信诚永益一年定开混合C,1.0214,0.75%,2.48%,3.75%,7.11%,--,9.04%
004173,嘉实增益宝货币,0.7125,0.23%,0.71%,1.62%,3.74%,--,7.36%
004175,博时鑫泰混合A,1.0385,-0.08%,-0.39%,-1.44%,5.02%,--,17.16%
004176,博时鑫泰混合C,1.0357,-0.09%,-0.42%,-1.49%,4.91%,--,6.92%
004177,平安大华惠裕C,1.0142,0.05%,0.20%,2.42%,2.43%,--,2.42%
004178,圆信永丰丰润货币A,0.6840,0.25%,0.76%,1.73%,3.78%,--,6.28%
004179,圆信永丰丰润货币B,0.7376,0.27%,0.82%,1.85%,4.03%,--,6.68%
004180,南方宏元债券A,1.0848,0.57%,2.27%,3.27%,5.40%,--,8.47%
004181,南方宏元债券C,1.0848,0.57%,2.27%,3.27%,5.40%,--,8.47%
004182,建信瑞福添利混合A,0.9178,0.60%,-1.90%,-4.71%,-9.59%,--,-7.98%
004183,富国产业升级混合,0.9418,-6.40%,-16.29%,-16.80%,-16.69%,--,-5.34%
004185,江信增利货币A,0.6799,0.25%,0.81%,1.77%,3.79%,--,4.58%
004186,江信增利货币B,0.7486,0.27%,0.87%,1.89%,4.05%,--,4.89%
004189,华商民营活力灵活配置混合,0.6527,-7.63%,-21.30%,-32.79%,-37.30%,--,-34.60%
004190,招商沪深300指数增强A,0.9616,-0.03%,-7.84%,-14.69%,-15.25%,--,-3.67%
004191,招商沪深300指数增强C,0.9579,-0.06%,-7.94%,-14.85%,-15.57%,--,-4.05%
004192,招商中证500指数A,0.7800,-7.13%,-12.97%,-27.18%,-33.77%,--,-21.49%
004193,招商中证500指数C,0.7822,-7.31%,-15.45%,-27.04%,-34.12%,--,-21.46%
004194,招商中证1000指数增强A,0.6538,-8.65%,-17.80%,-28.80%,-34.96%,--,-34.87%
004195,招商中证1000指数增强C,0.6570,-8.68%,-17.88%,-28.94%,-35.22%,--,-34.56%
004196,泓德裕鑫一年定开债券A,1.0822,0.93%,3.13%,4.51%,7.40%,--,8.80%
004197,泓德裕鑫一年定开债券C,1.0772,0.93%,3.04%,4.34%,7.02%,--,8.30%
004198,华富天益货币A,0.6368,0.22%,0.73%,1.59%,3.49%,--,6.14%
004199,华富天益货币B,0.7149,0.24%,0.79%,1.72%,3.75%,--,6.59%
004200,博时富瑞纯债债券,1.0357,0.73%,1.89%,3.86%,5.13%,--,6.74%
004201,华夏财富宝货币B,0.8674,0.28%,0.90%,2.03%,4.36%,--,7.69%
004202,华夏睿磐泰兴混合,1.0107,0.36%,-0.18%,-0.16%,0.09%,--,1.15%
004203,上投摩根岁岁金定开债A,1.0457,0.58%,1.26%,1.14%,2.95%,--,4.56%
004204,上投摩根岁岁金定开债C,1.0407,0.55%,1.18%,1.01%,2.64%,--,4.06%
004205,东方支柱产业灵活配置混合,0.7814,-4.39%,-15.79%,-19.73%,-25.59%,--,-22.19%
004206,华商元亨灵活配置混合,0.7759,-8.93%,-16.65%,-22.77%,-26.48%,--,-22.38%
004209,大成智惠量化多策略混合,0.9046,-2.69%,-10.25%,-17.72%,-18.13%,--,-10.18%
004210,前海开源货币E,0.5883,0.22%,0.72%,1.63%,3.62%,--,6.53%
004211,金鹰周期优选混合,0.8842,0.21%,-7.08%,-9.94%,--,--,-11.20%
004212,中融量化智选混合A,0.8675,-5.11%,-9.76%,-19.52%,-23.37%,--,-13.27%
004213,中欧骏益货币,,,,,,,
004216,兴业安润货币A,0.7472,0.24%,0.85%,1.87%,4.02%,--,7.22%
004217,兴业安润货币B,0.8131,0.26%,0.91%,1.99%,4.27%,--,7.67%
004218,前海开源裕和定期开放混合,0.9344,-2.26%,-7.62%,-7.40%,-8.21%,--,-6.79%
004219,中海添顺定期开放混合,1.0204,0.09%,0.52%,1.41%,3.22%,--,6.81%
004220,长信纯债壹号债券C,1.0777,0.58%,0.78%,1.52%,3.43%,--,4.96%
004221,长信量化先锋混合C,1.0657,-2.73%,-15.01%,-22.52%,-28.57%,--,-37.01%
004222,金信民旺债券A,0.8744,-1.12%,-3.75%,-7.89%,--,--,-12.30%
004223,金信多策略精选灵活配置,1.2665,0.27%,0.55%,1.43%,46.83%,--,53.89%
004224,南方军工改革灵活配置混合,0.5758,-11.87%,-9.87%,-32.06%,-41.37%,--,-42.41%
004225,国寿安保稳诚混合A,1.0226,0.24%,0.29%,0.95%,1.14%,--,7.32%
004226,国寿安保稳诚混合C,1.0208,0.23%,0.27%,0.90%,1.02%,--,7.14%
004227,泰信鑫利混合A,1.0153,-0.47%,-1.54%,-1.73%,-0.38%,--,1.41%
004228,泰信鑫利混合C,1.0067,-0.50%,-1.64%,-1.82%,-0.81%,--,0.55%
004230,永赢添益债券,1.0288,0.70%,1.79%,3.63%,5.83%,--,8.43%
004231,中欧行业成长混合(LOF)C,0.9181,-2.63%,-15.19%,-18.20%,-15.55%,--,11.77%
004232,中欧价值发现混合C,1.6955,-3.32%,-12.46%,-14.42%,-12.50%,--,5.37%
004233,中欧盛世成长混合(LOF)C,1.0476,-7.22%,-10.62%,-17.86%,-18.77%,--,-12.63%
004234,中欧数据挖掘混合C,0.7873,-7.58%,-16.21%,-21.94%,-21.31%,--,-20.13%
004235,中欧价值智选混合C,1.5068,-1.15%,-7.48%,-5.05%,-8.10%,--,-11.60%
004236,中欧新动力混合(LOF)C,1.3623,-1.86%,-11.73%,-14.52%,-18.00%,--,-6.89%
004237,中欧新蓝筹混合C,0.9491,-5.03%,-13.81%,-15.64%,-14.71%,--,-2.41%
004238,永赢瑞益债券,1.0670,0.57%,1.54%,3.06%,6.92%,--,14.08%
004241,中欧时代先锋股票C,0.9951,-6.48%,-11.45%,-16.62%,-11.24%,--,14.47%
004242,兴业增益三年定开债券,1.0551,0.38%,0.86%,1.93%,3.32%,--,5.70%
004243,广发道琼斯石油指数C,1.2538,0.97%,1.81%,19.91%,27.92%,--,20.44%
004244,东方周期优选灵活配置混合,0.9150,0.97%,-9.06%,-18.06%,-14.04%,--,-7.05%
004246,德邦锐乾债券A,1.0119,0.45%,1.35%,2.46%,5.00%,--,8.06%
004247,德邦锐乾债券C,1.0114,0.43%,1.28%,2.48%,5.11%,--,8.10%
004249,安信中国制造2025混合,0.9579,-2.64%,-13.30%,-20.30%,-16.40%,--,-4.20%
004250,银河量化优选混合,0.8519,-5.01%,-10.99%,-17.17%,-21.46%,--,-14.71%
004251,华夏惠利货币B,0.8419,0.28%,0.84%,1.66%,3.78%,--,6.67%
004252,国泰安益灵活配置混合C,1.0939,0.45%,-2.28%,-4.10%,-1.98%,--,6.99%
004253,国泰黄金ETF联接C,1.0336,2.17%,0.91%,-1.64%,-2.80%,--,-4.01%
004254,民生加银汇鑫一年定开债A,1.0756,0.42%,2.10%,3.08%,5.45%,--,7.53%
004255,民生加银汇鑫一年定开债C,1.0712,0.39%,2.02%,2.93%,5.15%,--,7.09%
004256,民生加银汇鑫一年定开债D,--,0.00%,0.00%,--,--,--,0.00%
004258,国寿安保稳嘉混合A,0.9980,0.96%,0.70%,-0.38%,1.22%,--,7.03%
004259,国寿安保稳嘉混合C,0.9964,0.94%,0.67%,-0.44%,1.11%,--,6.85%
004260,德邦稳盈增长灵活配置混合,0.7963,-3.71%,-10.82%,-19.69%,-26.18%,--,-19.71%
004261,招商招禧宝货币A,0.8479,0.26%,0.84%,1.82%,3.93%,--,5.79%
004262,招商招禧宝货币B,0.9130,0.28%,0.90%,1.94%,4.18%,--,6.16%
004263,华安沪港深机会灵活配置混合,1.1882,-0.25%,-10.14%,-7.64%,-0.91%,--,19.70%
004264,海富通瑞合纯债,1.0240,0.68%,1.32%,3.09%,5.39%,--,7.44%
004265,金鹰民丰回报定期开放混合,1.0605,0.10%,1.37%,1.88%,4.20%,--,5.17%
004266,招商沪港深科技创新混合,0.8382,-4.52%,-13.50%,-16.22%,-15.52%,--,-7.91%
004267,金鹰持久增利债券(LOF)E,1.0050,-1.15%,-3.86%,-5.95%,-8.43%,--,0.51%
004270,汇添富民丰回报混合A,1.0566,0.56%,0.83%,-0.23%,5.71%,--,5.73%
004271,汇添富民丰回报混合C,1.0548,1.04%,1.28%,0.10%,5.54%,--,5.55%
004272,中融量化小盘股票A,0.7421,-7.70%,-15.81%,-25.43%,-34.85%,--,-26.15%
004273,中融量化小盘股票C,,,,,,,
004274,浦银安恒回报定开混合A,--,-0.15%,--,--,--,--,-0.55%
004275,浦银安恒回报定开混合C,--,-0.18%,--,--,--,--,-0.61%
004276,浦银安和回报定开混合A,--,-0.22%,-0.95%,-1.18%,0.43%,--,3.54%
004277,浦银安和回报定开混合C,--,-0.25%,-1.04%,-1.36%,0.01%,--,2.92%
004278,东方红智逸沪港深定开混合,1.1273,-2.09%,-3.11%,-5.80%,-1.45%,--,8.46%
004279,国寿安保稳荣混合A,1.0183,0.14%,1.13%,1.15%,0.68%,--,6.89%
004280,国寿安保稳荣混合C,1.0167,0.14%,1.11%,1.10%,0.58%,--,6.72%
004282,博时兴荣货币,0.7167,0.23%,0.79%,1.82%,4.17%,--,7.07%
004283,中欧达安一年定开混合,--,0.14%,1.21%,2.26%,4.28%,--,8.58%
004284,华宝新优选定开混合,1.0339,1.88%,0.26%,-1.54%,0.76%,--,2.82%
004285,华富天盈货币A,0.6308,0.19%,0.70%,1.63%,3.61%,--,6.03%
004286,华富天盈货币B,0.6967,0.21%,0.76%,1.75%,3.86%,--,6.44%
004287,国投瑞银安颐多策略混合,,,,,,,
004290,前海开源顺和债券A,1.0493,0.65%,1.42%,2.59%,4.31%,--,4.98%
004291,前海开源顺和债券C,1.0450,0.64%,1.40%,2.52%,3.97%,--,4.55%
004292,鹏华沪深港互联网股票,0.9483,-4.22%,-18.90%,-21.81%,-19.72%,--,-5.41%
004295,中欧天尚定开债券A,,,,,,,
004296,中欧天尚定开债券C,,,,,,,
004301,国寿安保稳信混合A,1.0099,0.38%,1.08%,0.12%,-0.07%,--,5.11%
004302,国寿安保稳信混合C,1.0083,0.37%,1.05%,0.08%,-0.17%,--,4.95%
004307,博时富元纯债债券,1.0310,0.58%,1.48%,2.91%,5.63%,--,8.53%
